YYYY,MM,DD,hh,mm,ss,Q_AR_TR_sum (m^3/s)
1961,10,31,0,0,0,337.253088
1961,11,1,0,0,0,355.092672
1961,11,2,0,0,0,305.255104
1961,11,3,0,0,0,350.845152
1961,11,4,0,0,0,360.472864
1961,11,5,0,0,0,386.241152
1961,11,6,0,0,0,431.8312
1961,11,7,0,0,0,407.195584
1961,11,8,0,0,0,431.8312
1961,11,9,0,0,0,418.239136
1961,11,10,0,0,0,396.152032
1961,11,11,0,0,0,398.983712
1961,11,12,0,0,0,350.561984
1961,11,13,0,0,0,382.559968
1961,11,14,0,0,0,497.243008
1961,11,15,0,0,0,686.399232
1961,11,16,0,0,0,912.933632
1961,11,17,0,0,0,984.291968
1961,11,18,0,0,0,1047.155264
1961,11,19,0,0,0,1033.5632
1961,11,20,0,0,0,1061.88
1961,11,21,0,0,0,1012.3256
1961,11,22,0,0,0,887.448512
1961,11,23,0,0,0,1056.21664
1961,11,24,0,0,0,1064.71168
1961,11,25,0,0,0,1135.50368
1961,11,26,0,0,0,1211.95904
1961,11,27,0,0,0,1226.11744
1961,11,28,0,0,0,1203.464
1961,11,29,0,0,0,1081.70176
1961,11,30,0,0,0,1121.34528
1961,12,1,0,0,0,1115.68192
1961,12,2,0,0,0,1067.54336
1961,12,3,0,0,0,843.84064
1961,12,4,0,0,0,673.93984
1961,12,5,0,0,0,671.10816
1961,12,6,0,0,0,637.128
1961,12,7,0,0,0,628.63296
1961,12,8,0,0,0,688.664576
1961,12,9,0,0,0,890.280192
1961,12,10,0,0,0,3029.8976
1961,12,11,0,0,0,4052.13408
1961,12,12,0,0,0,4377.77728
1961,12,13,0,0,0,5439.65728
1961,12,14,0,0,0,5804.944
1961,12,15,0,0,0,6317.47808
1961,12,16,0,0,0,6555.3392
1961,12,17,0,0,0,6994.2496
1961,12,18,0,0,0,7390.6848
1961,12,19,0,0,0,7900.3872
1961,12,20,0,0,0,8608.3072
1961,12,21,0,0,0,9089.6928
1961,12,22,0,0,0,9429.4944
1961,12,23,0,0,0,9627.712
1961,12,24,0,0,0,9797.6128
1961,12,25,0,0,0,9995.8304
1961,12,26,0,0,0,10109.0976
1961,12,27,0,0,0,10194.048
1961,12,28,0,0,0,10278.9984
1961,12,29,0,0,0,10250.6816
1961,12,30,0,0,0,9882.5632
1961,12,31,0,0,0,9457.8112
1962,1,1,0,0,0,8778.208
1962,1,2,0,0,0,7843.7536
1962,1,3,0,0,0,6965.9328
1962,1,4,0,0,0,6280.66624
1962,1,5,0,0,0,5855.91424
1962,1,6,0,0,0,5762.4688
1962,1,7,0,0,0,5683.18176
1962,1,8,0,0,0,5487.79584
1962,1,9,0,0,0,5349.04352
1962,1,10,0,0,0,5179.14272
1962,1,11,0,0,0,5176.31104
1962,1,12,0,0,0,5080.03392
1962,1,13,0,0,0,4850.66784
1962,1,14,0,0,0,4448.56928
1962,1,15,0,0,0,4086.11424
1962,1,16,0,0,0,3953.02528
1962,1,17,0,0,0,3768.96608
1962,1,18,0,0,0,3661.36224
1962,1,19,0,0,0,4125.75776
1962,1,20,0,0,0,4629.7968
